,Staff_ID,PNP_ID,Initials,User_Name,PasswordBytes,Code,View1,Modify1,Approve1,View2,Modify2,Approve2,View3,Modify3,Approve3,View4,Modify4,Approve4,IsGlobal,TieredSecurity1,Ledger_Security,Ledger_Security_All,View5,Modify5,Approve5,Create_DtTm,Create_ID,Edit_DtTm,Edit_ID,Sanct_DtTm,Sanct_ID,Note_ID,Type,Category,Sch_Duration,Clinic_ID,Overrides,Bill_Credentials,Other_Credentials,Acc_Assign,Last_Name,First_Name,Mdl_Initial,Suffix,Birth_DtTm,Gender,Adr1,Adr2,City,State_Province,Postal,Country,Work_Phone,Work_Phone_Ex,Fax,Pager,Pager_Ex,CellPhone,EMail,Home_Phone,Home_Phone_Ex,Switches,Private,Restricted,Sch_ID1,Sch_ID2,Sch_ID3,Sch_ID4,Sch_ID5,Mail_Pref,ChartDestination,Deleted,Status_inactive,Status_Login,Status_Unaprv,Staff_Role,Dept_type,Machine_Type,CC_From_Schedule,Can_Be_Scheduled,TemplateOverrideLevel,NonPhysician,AllowCustomizeLayouts,AllowPushLayouts,OverrideFilterLockdown,Last_Name_SingleByte,First_Name_SingleByte,Mdl_Initial_SingleByte,HPG_Eligible,DirectMailAddress,RowVers
0,218,3643,261   ,               ,AAAAAAAAAAAAAAAAAAAA,   ,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,0,0,2012-07-28 16:24:18.000,1.0,2020-05-06 19:36:29.150,23.0,,,,Location,0,90000,O01,0,,,False,2619                                    ,,  ,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,2,False,False,False,False,0,1,1,3,True,0,2,False,False,False,,,  ,,,AAAAABvs7p4=
1,100,1048,      ,               ,AAAAAAAAAAAAAAAAAAAA,   ,0,0,0,3,3,3,0,0,0,0,0,0,False,0,0,False,0,0,0,2006-10-04 11:13:31.000,14.0,2015-10-08 16:28:54.977,159.0,,,,Location       ,0,90000,          ,0,          ,          ,False,Physics_Check                           ,                                        ,  ,             ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,0,False,False,False,False,0,1,6,3,True,0,2,True,False,False,,,  ,,,AAAAABTEK5Q=
2,805,4530,SB    ,dummyusername,AAAAAAAAAAAAAAAAAAAA,   ,1052442107,271777267,269675763,2147077119,1349518332,1346508576,536870912,805306368,536870912,136364032,-939524096,939524096,False,0,0,False,0,0,0,2014-05-16 09:18:49.000,159.0,2020-10-23 16:54:27.153,159.0,,,,Physicist      ,0,120000,,0,,,False,Biggs                                   ,Simon,  ,,,          ,,,,,,,,,,,,,,,,0,0,0,,,,,,0,0,False,False,False,False,5,0,0,3,False,40,0,True,False,False,,,  ,,,AAAAAB3mZTA=
3,1,1,ZZZ   ,IMPAC                                                           ,KXbGB0pqiqrK6goqSmqK,   ,1069219327,1069481463,1904147703,2147077119,2147069951,2147467071,1879048191,2147483647,1073741823,-1548828161,-878263809,998953215,True,67371008,1,True,1023,1017,536,,,2019-10-15 13:03:51.533000,1.0,,,,*Do Not Delete*,0,90000,,0,          ,          ,False,Z                                       ,Z                                       ,Z ,          ,,          ,                                        ,                                        ,                                        ,,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,0,False,False,True,False,4,0,0,3,False,9999,0,True,True,True,,,  ,,,AAAAAACNCpg=
4,2,2,ONC   ,                                                                ,JXG2AVWWxvcXN1d3l7fX,   ,0,0,0,3,3,3,0,0,0,0,0,0,False,0,0,False,0,0,0,,,2023-09-14 03:16:26.523000,,,,,Location,0,90000,          ,0,          ,          ,False,ONCOR                                   ,                                        ,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,2,False,False,False,False,0,1,1,3,True,0,2,True,False,False,,,  ,,,AAAAAACNQQI=
5,3,9,2     ,                                                                ,ICAgICAgICAgIEBggKDA,   ,0,0,0,3,3,3,0,0,0,0,0,0,False,0,0,False,0,0,0,,,2023-09-14 03:16:26.523000,,,,,Location,0,90000,          ,0,          ,          ,False,2 Accelerator                           ,                                        ,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,2,True,True,False,False,0,1,1,3,True,0,2,True,False,False,,,  ,,,AAAAAACNQOA=
6,4,10,SIM   ,                                                                ,ICAgICAgICAgIEBggKDA,   ,0,0,0,3,3,3,0,0,0,0,0,0,False,0,0,False,0,0,0,,,2023-09-14 03:16:26.523000,,,,,Location,0,180000,          ,0,          ,          ,False,Simulator                               ,                                        ,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,4,False,False,False,False,0,1,2,3,True,0,2,True,False,False,,,  ,,,AAAAAACNQPQ=
7,5,11,REC   ,                                                                ,ICAgICAgICAgIEBggKDA,   ,0,0,0,3,3,3,0,0,0,0,0,0,True,0,0,False,0,0,0,,,2023-09-14 03:16:26.523000,,,,,Location,0,90000,          ,0,          ,          ,False,Reception                               ,                                        ,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,1,False,False,False,False,0,1,0,3,True,0,2,True,False,False,,,  ,,,AAAAAACNQP4=
8,6,12,RH    ,Roger                                                           ,JXG2AVWWxvcXN1d3l7fX,   ,851115519,842726903,540690561,2147011583,1342704639,1343102783,-1610612734,805306368,805306368,184598528,-889192448,-83886080,False,0,0,True,432,432,16,,,2023-09-14 03:23:19.127000,,,,,Physicist      ,0,90000,,0,          ,          ,False,Hensly                                  ,Roger,  ,          ,,          ,                                        ,                                        ,                                        ,,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,0,False,False,False,False,5,0,0,3,False,40,0,True,False,False,,,  ,,,AAAAAACNRVQ=
9,7,13,AP    ,Andy                                                            ,JXG2AVWWxvcXN1d3l7fX,   ,280690175,271646199,2100355,2146468863,2003829759,1073878847,-1610612734,805306368,536870912,966656,-1073299456,-268304384,False,0,0,True,0,0,0,,,2023-09-14 03:23:19.127000,,,,,Therapist      ,0,90000,          ,0,          ,          ,False,Peters                                  ,Andrew,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,0,False,False,False,False,3,0,0,3,True,40,0,True,False,False,,,  ,,,AAAAAACNRWg=
10,8,14,EA    ,Eileen                                                          ,JXG2AVWWxvcXN1d3l7fX,   ,1052311039,1043918848,540864512,2147077119,1074334719,1074700093,-1610612734,0,0,49152,0,0,True,0,0,True,0,0,0,,,2023-09-14 03:23:19.127000,,,,,Administrator  ,0,90000,,0,          ,          ,False,Adams                                   ,Eileen,  ,          ,,,                                        ,                                        ,                                        ,,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,0,False,False,False,False,9,0,0,3,False,90,0,True,False,False,,,  ,,,AAAAAACNRYs=
11,9,15,RR    ,Ralph                                                           ,JXG2AVWWxvcXN1d3l7fX,   ,280034815,3207168,3469312,2146435583,1073742051,1073872929,-1610612734,0,0,49152,0,0,True,0,1,True,0,0,0,,,2023-09-14 03:23:19.127000,,,,,Reception      ,0,90000,          ,0,          ,          ,False,Richards                                ,Ralph,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,0,False,False,False,False,10,0,0,3,False,40,0,True,False,False,,,  ,,,AAAAAACNRVg=
12,10,16,NM    ,Nancy                                                           ,JXG2AVWWxvcXN1d3l7fX,   ,280690175,271777271,2115715,2146468863,1466958847,1342310207,-1610612734,805306368,805306368,966656,-939081728,-268304384,False,0,0,True,176,176,16,,,2023-09-14 03:23:19.127000,,,,,Dosimetrist    ,0,90000,          ,0,          ,          ,False,Manse                                   ,Nancy,  ,          ,,          ,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,0,False,False,False,False,7,0,0,3,False,40,0,True,False,False,,,  ,,,AAAAAACNRWw=
13,11,17,DR    ,Donna                                                           ,JXG2AVWWxvcXN1d3l7fX,   ,280034815,271643668,2396160,2146468863,2146435299,2079457313,-1607467006,0,0,966656,442368,180224,False,0,1,True,0,0,0,,,2023-09-14 03:23:19.127000,,,,,Nurse          ,0,90000,,0,          ,          ,False,Rubicin                                 ,Donna,  ,          ,,,                                        ,                                        ,                                        ,,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,0,False,False,False,False,8,0,0,3,True,40,0,True,False,False,,,  ,,,AAAAAACNRYY=
14,12,18,BC    ,BEV                                                             ,JXG2AVWWxvcXN1d3l7fX,   ,296418815,287503412,1365377072,2146468863,2012218339,1962018339,-1610612734,0,0,51298304,50774016,51036160,True,0,0,True,0,0,0,,,2023-09-14 03:23:19.127000,,,,,Radiation Onc  ,0,90000,,0,MD        ,          ,False,Crumble                                 ,Beverly,  ,          ,,,                                        ,                                        ,                                        ,,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,0,False,False,False,False,1,0,0,3,True,40,0,True,False,False,,,  ,,,AAAAAACNRVw=
15,13,3,KS    ,Kim                                                             ,JXG2AVWWxvcXN1d3l7fX,   ,280031257,268439552,268701696,1609564415,195,262145,-2147483646,0,0,49152,0,0,True,0,0,True,0,0,0,2000-06-08 17:35:51,1.0,2023-09-14 03:23:19.127000,,,,,Transcriptor   ,0,180000,          ,0,          ,          ,False,Smith                                   ,Kimberly,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,0,False,False,False,False,10,0,0,3,False,10,0,True,False,False,,,  ,,,AAAAAACNRW8=
16,14,4,SF    ,Sharon                                                          ,JXG2AVWWxvcXN1d3l7fX,   ,280559099,271642672,1076154384,2146959871,2146959615,2146828351,1744826674,1207955762,0,-2146516644,-2147040932,180224,True,0,0,True,0,0,0,2000-06-08 17:42:31,1.0,2023-09-14 03:23:19.127000,,,,,Adv Pract RN   ,0,180000,          ,0,          ,          ,False,Felton                                  ,Sharon,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,0,False,False,False,False,8,0,0,3,True,40,0,True,False,False,,,  ,,,AAAAAACNRZM=
17,15,5,TC1   ,                                                                ,AAAAAAAAAAAAACBAYICg,   ,4096,4096,266240,3,3,3,0,0,0,0,0,0,False,0,0,False,0,0,0,2000-06-08 17:53:49,1.0,2023-09-14 03:16:26.523000,,,,,Location,0,90000,          ,0,          ,          ,False,Treatment Chair  01                     ,                                        ,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,3,False,False,False,False,0,3,0,3,True,0,2,True,False,False,,,  ,,,AAAAAACNQOY=
18,16,6,TC2   ,                                                                ,AAAAAAAAAAAAACBAYICg,   ,4096,4096,266240,3,3,3,0,0,0,0,0,0,False,0,0,False,0,0,0,2000-06-08 17:57:37,1.0,2023-09-14 03:16:26.523000,,,,,Location,0,90000,          ,0,          ,          ,False,Treatment Chair 02                      ,                                        ,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,3,False,False,False,False,0,3,0,3,True,0,2,True,False,False,,,  ,,,AAAAAACNQPo=
19,17,7,TC3   ,                                                                ,AAAAAAAAAAAAACBAYICg,   ,4096,4096,266240,3,3,3,0,0,0,0,0,0,False,0,0,False,0,0,0,2000-06-08 17:59:31,1.0,2023-09-14 03:16:26.523000,,,,,Location,0,90000,          ,0,          ,          ,False,Treatment Chair 03                      ,                                        ,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,3,False,False,False,False,0,3,0,3,True,0,2,True,False,False,,,  ,,,AAAAAACNQQc=
20,18,8,TC4   ,                                                                ,AAAAAAAAAAAAACBAYICg,   ,4096,4096,266240,3,3,3,0,0,0,0,0,0,False,0,0,False,0,0,0,2000-06-08 17:59:56,1.0,2023-09-14 03:16:26.523000,,,,,Location,0,90000,          ,0,          ,          ,False,Treatment Chair 04                      ,                                        ,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,3,False,False,False,False,0,3,0,3,True,0,2,True,False,False,,,  ,,,AAAAAACNQO4=
21,19,19,TC5   ,                                                                ,AAAAAAAAAAAAACBAYICg,   ,4096,4096,266240,3,3,3,0,0,0,0,0,0,False,0,0,False,0,0,0,2000-06-08 18:00:16,1.0,2023-09-14 03:16:26.523000,,,,,Location,0,90000,          ,0,          ,          ,False,Treatment Chair 05                      ,                                        ,  ,          ,,,                                        ,                                        ,                                        ,                         ,                         ,                         ,                         ,          ,                         ,                         ,          ,                         ,                                        ,                         ,          ,0,0,0,,,,,,0,3,False,False,False,False,0,3,0,3,True,0,2,True,False,False,,,  ,,,AAAAAACNQPw=
